No,企業名,業種(大分類),業種(小分類),採用情報URL
76,アズビル株式会社,総合電機（電気・電子機器）,半導体・電子部品・その他／精密機器／機械／設備・設備工事関連,https://job.rikunabi.com//2022/company/r498200060/employ/
77,株式会社三ツ知,自動車,鉄鋼／輸送機器／金属製品,https://job.rikunabi.com//2022/company/r498200060/employ/
78,シャープＮＥＣディスプレイソリューションズ株式会社,コンピュータ・通信機器・ＯＡ機器,半導体・電子部品・その他／精密機器／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
79,福助工業株式会社,印刷関連,化学／紙・パルプ／その他製造／広告,https://job.rikunabi.com//2022/company/r498200060/employ/
80,高周波熱錬株式会社,重電・産業用電気機器,機械／金属製品／自動車／精密機器,https://job.rikunabi.com//2022/company/r498200060/employ/
81,レイズネクスト株式会社,プラント・エンジニアリング,設備・設備工事関連／建設／石油・石炭／非鉄金属,https://job.rikunabi.com//2022/company/r498200060/employ/
82,日本軽金属株式会社,非鉄金属,機械／化学／半導体・電子部品・その他／情報処理,https://job.rikunabi.com//2022/company/r498200060/employ/
83,山下ゴム株式会社,自動車,機械／商社（自動車・輸送機器）／商社（電機・電子・半導体）／化学,https://job.rikunabi.com//2022/company/r498200060/employ/
84,住友ゴム工業株式会社,タイヤ・ゴム製品,自動車／化学／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
85,フジテック株式会社,機械,輸送機器／設備・設備工事関連／メンテナンス・清掃事業／安全・セキュリティ産業,https://job.rikunabi.com//2022/company/r498200060/employ/
86,アイ・シー・エンジニアリング株式会社,自動車,プラント・エンジニアリング／機械／建設／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
87,コマツ産機株式会社,機械,重電・産業用電気機器／プラント・エンジニアリング／自動車／輸送機器,https://job.rikunabi.com//2022/company/r498200060/employ/
88,株式会社クボタ建設,建設,建設コンサルタント／建築設計／水道／その他サービス,https://job.rikunabi.com//2022/company/r498200060/employ/
89,サンアロイ工業株式会社,非鉄金属,金属製品／機械／商社（金属）／商社（機械）,https://job.rikunabi.com//2022/company/r498200060/employ/
90,ユニタイト株式会社,自動車,機械／金属製品／設備・設備工事関連／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
91,リファインホールディングス株式会社,化学,プラント・エンジニアリング／機械／機械設計／エネルギー,https://job.rikunabi.com//2022/company/r498200060/employ/
92,株式会社チノー,精密機器,機械／プラント・エンジニアリング／重電・産業用電気機器／半導体・電子部品・その他,https://job.rikunabi.com//2022/company/r498200060/employ/
93,株式会社ROKI,輸送機器,自動車,https://job.rikunabi.com//2022/company/r498200060/employ/
94,株式会社ウッドワン ,建材・エクステリア,商社（建材・エクステリア）／住宅／建設／文具・事務機器・インテリア,https://job.rikunabi.com//2022/company/r498200060/employ/
95,ミクロン精密株式会社,機械,精密機器／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
96,東ソー・シリカ株式会社,化学,,https://job.rikunabi.com//2022/company/r498200060/employ/
97,ケミカルグラウト株式会社,建設,建設コンサルタント／建築設計／機械設計／情報処理,https://job.rikunabi.com//2022/company/r498200060/employ/
98,株式会社ダイセル,化学,自動車／医薬品／食品／半導体・電子部品・その他,https://job.rikunabi.com//2022/company/r498200060/employ/
99,石原ケミカル株式会社,化学,半導体・電子部品・その他／商社（化学製品）／商社（金属）,https://job.rikunabi.com//2022/company/r498200060/employ/
